Format, Trivinci Systems LLC, V2
Device type, Road-Keeper dual 1080p
Starting Date, 20/5/2023
Starting Time, 16:9:41
sample rate (samps/sec), 30
duration (secs), 900.5
GPS sample rate (Hz), 10
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap, Brake (bar)
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.390723, 4.542049, 0, 0, 0, 0, 0, 0, 0, 3, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
